RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,ANO,AE
1,M,17.0,TÉC,SJ,SUB,P,VES,2017,1
1,M,22.0,TÉC,TI,SUB,P,VES,2017,0
1,M,32.0,TÉC,TI,SUB,P,VES,2017,0
1,M,42.0,FIC,MFC,CON,P,NOT,2017,0
1,M,42.0,FIC,DES,CON,P,VES,2017,0
1,M,42.0,TÉC,TA,SUB,P,NOT,2017,0
1,M,52.0,TÉC,TI,SUB,P,VES,2017,0
"1,5",M,22.0,TÉC,TI,SUB,P,VES,2017,0
"1,5",M,37.0,FIC,CTUCAL,CON,P,INT,2017,1
"1,5",M,37.0,TÉC,GT,SUB,P,VES,2017,0
"1,5",M,42.0,TÉC,TA,SUB,P,NOT,2017,1
"2,5",F,27.0,TÉC,SJ,SUB,P,NOT,2017,1
5,M,42.0,TÉC,TI,SUB,P,VES,2017,0
ND,F,17.0,TÉC,PES,SUB,P,VES,2017,1
ND,F,17.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,17.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,17.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,22.0,TÉC,GT,SUB,P,VES,2017,0
ND,F,22.0,TÉC,GT,SUB,P,VES,2017,1
ND,F,22.0,TÉC,PES,SUB,P,VES,2017,1
ND,F,22.0,TÉC,PES,SUB,P,VES,2017,1
ND,F,22.0,TÉC,PES,SUB,P,VES,2017,1
ND,F,22.0,TÉC,PES,SUB,P,VES,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,27.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,27.0,TÉC,SJ,SUB,P,VES,2017,0
ND,F,27.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,32.0,TÉC,GT,SUB,P,VES,2017,1
ND,F,32.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,32.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,32.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,37.0,TÉC,GT,SUB,P,VES,2017,0
ND,F,37.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,37.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,37.0,TÉC,SJ,SUB,P,NOT,2017,0
ND,F,37.0,TÉC,SJ,SUB,P,NOT,2017,0
ND,F,37.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,37.0,TÉC,TI,SUB,P,VES,2017,0
ND,F,37.0,TÉC,TA,SUB,P,NOT,2017,0
