CR,RF,RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,TC-NC-TO,NC-ME,NC-TURNO,ANO,AE
BRA,3.5,"3,5",M,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,5.0,5,M,42.0,FIC,PEP,CON,P,NOT,FIC-PEP-CON,PEP-P,PEP-NOT,2017,NÃO
BRA,5.0,5,M,62.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,,ND,F,17.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,F,17.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,F,37.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
BRA,,ND,F,37.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,37.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,37.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,F,42.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,F,42.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,,ND,F,47.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,F,47.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,47.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,F,47.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,F,52.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,17.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,,ND,M,17.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,M,22.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,NÃO
BRA,,ND,M,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,,ND,M,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,22.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,22.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,27.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,NÃO
BRA,,ND,M,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,,ND,M,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,,ND,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,32.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,M,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,,ND,M,47.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,,ND,M,47.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,,ND,M,52.0,FIC,ADS,CON,P,INT,FIC-ADS-CON,ADS-P,ADS-INT,2017,SIM
BRA,,ND,M,57.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,SIM
IND,0.5,"0,5",F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
IND,0.5,"0,5",M,27.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
IND,0.5,"0,5",M,27.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
IND,,ND,F,27.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
IND,,ND,M,37.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
IND,,ND,M,37.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
IND,,ND,M,52.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
PAR,0.5,"0,5",F,17.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
