CR,RF,RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,TC-NC-TO,NC-ME,NC-TURNO,ANO,AE
BRA,1.0,1,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2020,NÃO
BRA,1.0,1,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2020,NÃO
BRA,1.0,1,M,32.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,1.0,1,M,32.0,FIC,POP,NSA,P,NOT,FIC-POP-NSA,POP-P,POP-NOT,2020,NÃO
BRA,1.0,1,M,37.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,1.0,1,M,37.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,1.0,1,M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2020,NÃO
BRA,1.0,1,M,42.0,TÉC,TA,SUB,P,VES,TÉC-TA-SUB,TA-P,TA-VES,2020,SIM
BRA,1.0,1,M,47.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,1.5,"1,5",F,17.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,1.5,"1,5",F,17.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,1.5,"1,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,1.5,"1,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,1.5,"1,5",F,22.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,1.5,"1,5",F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,1.5,"1,5",F,27.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,1.5,"1,5",F,32.0,FIC,ACS,NSA,P,NOT,FIC-ACS-NSA,ACS-P,ACS-NOT,2020,NÃO
BRA,1.5,"1,5",F,32.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,SIM
BRA,1.5,"1,5",F,37.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,1.5,"1,5",F,37.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,1.5,"1,5",F,42.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,1.5,"1,5",F,47.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,1.5,"1,5",F,47.0,TÉC,TA,SUB,P,VES,TÉC-TA-SUB,TA-P,TA-VES,2020,SIM
BRA,1.5,"1,5",F,52.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,1.5,"1,5",F,52.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,1.5,"1,5",M,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,1.5,"1,5",M,22.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,1.5,"1,5",M,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,SIM
BRA,1.5,"1,5",M,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,SIM
BRA,1.5,"1,5",M,32.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,1.5,"1,5",M,32.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,1.5,"1,5",M,37.0,TÉC,TA,SUB,P,VES,TÉC-TA-SUB,TA-P,TA-VES,2020,NÃO
BRA,1.5,"1,5",M,42.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,1.5,"1,5",M,62.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,2.5,"2,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,2.5,"2,5",F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,2.5,"2,5",F,27.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,2.5,"2,5",F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,2.5,"2,5",F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,2.5,"2,5",F,32.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,2.5,"2,5",F,42.0,TÉC,TA,SUB,P,VES,TÉC-TA-SUB,TA-P,TA-VES,2020,NÃO
BRA,2.5,"2,5",F,57.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,2.5,"2,5",F,57.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,2.5,"2,5",M,22.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,2.5,"2,5",M,32.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,2.5,"2,5",M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2020,NÃO
BRA,2.5,"2,5",M,42.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,2.5,"2,5",M,42.0,TÉC,TA,SUB,P,VES,TÉC-TA-SUB,TA-P,TA-VES,2020,NÃO
BRA,2.5,"2,5",M,62.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,3.5,"3,5",F,22.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,3.5,"3,5",F,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,3.5,"3,5",F,32.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,3.5,"3,5",F,42.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,3.5,"3,5",M,37.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,5.0,5,F,62.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,5.0,5,M,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,5.0,5,M,42.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,F,17.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,17.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,17.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,SIM
BRA,,ND,F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,,ND,F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,,ND,F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,,ND,F,22.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,22.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,F,27.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,F,27.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,27.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,27.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,F,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,,ND,F,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,SIM
BRA,,ND,F,32.0,FIC,ACS,NSA,P,NOT,FIC-ACS-NSA,ACS-P,ACS-NOT,2020,NÃO
BRA,,ND,F,32.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,32.0,FIC,DES,NSA,P,NOT,FIC-DES-NSA,DES-P,DES-NOT,2020,NÃO
BRA,,ND,F,32.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,F,37.0,FIC,ACS,NSA,P,NOT,FIC-ACS-NSA,ACS-P,ACS-NOT,2020,NÃO
BRA,,ND,F,37.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,F,37.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,37.0,FIC,DES,NSA,P,NOT,FIC-DES-NSA,DES-P,DES-NOT,2020,NÃO
BRA,,ND,F,37.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,F,37.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,F,42.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,F,42.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,42.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,42.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,42.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,42.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,F,42.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,SIM
BRA,,ND,F,42.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,SIM
BRA,,ND,F,47.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,47.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,F,47.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,F,47.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,47.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,47.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,,ND,F,52.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,52.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,52.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,F,52.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,F,52.0,FIC,DES,NSA,P,NOT,FIC-DES-NSA,DES-P,DES-NOT,2020,NÃO
BRA,,ND,F,57.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,F,57.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,F,57.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,57.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,F,57.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,F,57.0,FIC,DES,NSA,P,NOT,FIC-DES-NSA,DES-P,DES-NOT,2020,NÃO
BRA,,ND,F,57.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,F,62.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,F,62.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,M,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,22.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,22.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,M,22.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
BRA,,ND,M,27.0,FIC,ACS,NSA,P,NOT,FIC-ACS-NSA,ACS-P,ACS-NOT,2020,NÃO
BRA,,ND,M,27.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,M,27.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,27.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,M,32.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,M,32.0,FIC,OE,NSA,D,NSA,FIC-OE-NSA,OE-D,OE-NSA,2020,NÃO
BRA,,ND,M,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,,ND,M,37.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,M,37.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,37.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
BRA,,ND,M,37.0,FIC,AP,NSA,D,NSA,FIC-AP-NSA,AP-D,AP-NSA,2020,NÃO
BRA,,ND,M,37.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,SIM
BRA,,ND,M,37.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2020,NÃO
BRA,,ND,M,42.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,M,42.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,SIM
BRA,,ND,M,47.0,FIC,AC,NSA,D,NSA,FIC-AC-NSA,AC-D,AC-NSA,2020,NÃO
BRA,,ND,M,47.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,M,47.0,FIC,CTUCAL,NSA,D,NSA,FIC-CTUCAL-NSA,CTUCAL-D,CTUCAL-NSA,2020,NÃO
BRA,,ND,M,47.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,M,52.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,52.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
BRA,,ND,M,52.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,M,52.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,M,57.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,57.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
BRA,,ND,M,57.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
BRA,,ND,M,57.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,,ND,M,57.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2020,NÃO
BRA,,ND,M,57.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,M,57.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,SIM
BRA,,ND,M,62.0,TÉC,TI,SUB,P,NOT,TÉC-TI-SUB,TI-P,TI-NOT,2020,NÃO
BRA,,ND,,,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
BRA,,ND,,,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
IND,2.5,"2,5",M,22.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2020,NÃO
PAR,0.5,"0,5",F,17.0,FIC,APS,NSA,D,NSA,FIC-APS-NSA,APS-D,APS-NSA,2020,NÃO
PAR,0.5,"0,5",F,17.0,FIC,AL,NSA,D,NSA,FIC-AL-NSA,AL-D,AL-NSA,2020,NÃO
PAR,0.5,"0,5",F,17.0,FIC,APC,NSA,D,NSA,FIC-APC-NSA,APC-D,APC-NSA,2020,NÃO
PAR,0.5,"0,5",F,17.0,FIC,ACO,NSA,D,NSA,FIC-ACO-NSA,ACO-D,ACO-NSA,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
PAR,0.5,"0,5",F,17.0,TÉC,SJ,INT,P,INT,TÉC-SJ-INT,SJ-P,SJ-INT,2020,NÃO
